trial c/dMass c/dEcc 
bmass09_becc06 -1.855102 0.085714
bmass09_becc07 -1.855102 0.100000
bmass09_becc08 -1.855102 0.114286
bmass09_becc09 -1.855102 0.128571
bmass09_becc10 -1.855102 0.142857
bmass09_becc11 -1.855102 0.157143
bmass09_becc12 -1.855102 0.171429
bmass09_becc13 -1.855102 0.185714
bmass09_becc14 -1.855102 0.200000
bmass09_becc15 -1.855102 0.214286
bmass09_becc16 -1.855102 0.228571
bmass09_becc17 -1.855102 0.242857
bmass09_becc18 -1.855102 0.257143
bmass09_becc19 -1.855102 0.271429
bmass09_becc20 -1.855102 0.285714
bmass09_becc21 -1.855102 0.300000
bmass09_becc22 -1.855102 0.314286
bmass09_becc23 -1.855102 0.328571
bmass09_becc24 -1.855102 0.342857
bmass09_becc25 -1.855102 0.357143
bmass09_becc26 -1.855102 0.371429
bmass09_becc27 -1.855102 0.385714
bmass09_becc28 -1.855102 0.400000
bmass09_becc29 -1.855102 0.414286
bmass09_becc30 -1.855102 0.428571
bmass09_becc31 -1.855102 0.442857
bmass09_becc32 -1.855102 0.457143
bmass09_becc33 -1.855102 0.471429
bmass09_becc34 -1.855102 0.485714
bmass09_becc35 -1.855102 0.500000
bmass09_becc36 -1.855102 0.514286
bmass09_becc37 -1.855102 0.528571
bmass09_becc38 -1.855102 0.542857
bmass09_becc39 -1.855102 0.557143
bmass09_becc40 -1.855102 0.571429
bmass09_becc41 -1.855102 0.585714
bmass09_becc42 -1.855102 0.600000
bmass09_becc43 -1.855102 0.614286
bmass09_becc44 -1.855102 0.628571
bmass09_becc45 -1.855102 0.642857
bmass09_becc46 -1.855102 0.657143
bmass09_becc47 -1.855102 0.671429
bmass09_becc48 -1.855102 0.685714
bmass09_becc49 -1.855102 0.700000
bmass10_becc00 -1.961224 0.000000
bmass10_becc01 -1.961224 0.014286
bmass10_becc02 -1.961224 0.028571
bmass10_becc03 -1.961224 0.042857
bmass10_becc04 -1.961224 0.057143
bmass10_becc05 -1.961224 0.071429
bmass10_becc06 -1.961224 0.085714
bmass10_becc07 -1.961224 0.100000
bmass10_becc08 -1.961224 0.114286
bmass10_becc09 -1.961224 0.128571
bmass10_becc10 -1.961224 0.142857
bmass10_becc11 -1.961224 0.157143
bmass10_becc12 -1.961224 0.171429
bmass10_becc13 -1.961224 0.185714
bmass10_becc14 -1.961224 0.200000
bmass10_becc15 -1.961224 0.214286
