trial b/dMass b/dEcc 
bmass11_becc19 -2.510345 0.196552
bmass11_becc20 -2.510345 0.206897
bmass11_becc21 -2.510345 0.217241
bmass11_becc22 -2.510345 0.227586
bmass11_becc23 -2.510345 0.237931
bmass11_becc24 -2.510345 0.248276
bmass11_becc25 -2.510345 0.258621
bmass11_becc26 -2.510345 0.268966
bmass11_becc27 -2.510345 0.279310
bmass11_becc28 -2.510345 0.289655
bmass11_becc29 -2.510345 0.300000
bmass12_becc00 -2.593103 0.000000
bmass12_becc01 -2.593103 0.010345
bmass12_becc02 -2.593103 0.020690
bmass12_becc03 -2.593103 0.031034
bmass12_becc04 -2.593103 0.041379
bmass12_becc05 -2.593103 0.051724
bmass12_becc06 -2.593103 0.062069
bmass12_becc07 -2.593103 0.072414
bmass12_becc08 -2.593103 0.082759
bmass12_becc09 -2.593103 0.093103
bmass12_becc10 -2.593103 0.103448
bmass12_becc11 -2.593103 0.113793
bmass12_becc12 -2.593103 0.124138
bmass12_becc13 -2.593103 0.134483
bmass12_becc14 -2.593103 0.144828
bmass12_becc15 -2.593103 0.155172
bmass12_becc16 -2.593103 0.165517
bmass12_becc17 -2.593103 0.175862
bmass12_becc18 -2.593103 0.186207
bmass12_becc19 -2.593103 0.196552
bmass12_becc20 -2.593103 0.206897
bmass12_becc21 -2.593103 0.217241
bmass12_becc22 -2.593103 0.227586
bmass12_becc23 -2.593103 0.237931
bmass12_becc24 -2.593103 0.248276
bmass12_becc25 -2.593103 0.258621
bmass12_becc26 -2.593103 0.268966
bmass12_becc27 -2.593103 0.279310
bmass12_becc28 -2.593103 0.289655
bmass12_becc29 -2.593103 0.300000
bmass13_becc00 -2.675862 0.000000
bmass13_becc01 -2.675862 0.010345
bmass13_becc02 -2.675862 0.020690
bmass13_becc03 -2.675862 0.031034
bmass13_becc04 -2.675862 0.041379
bmass13_becc05 -2.675862 0.051724
bmass13_becc06 -2.675862 0.062069
bmass13_becc07 -2.675862 0.072414
bmass13_becc08 -2.675862 0.082759
bmass13_becc09 -2.675862 0.093103
bmass13_becc10 -2.675862 0.103448
bmass13_becc11 -2.675862 0.113793
bmass13_becc12 -2.675862 0.124138
bmass13_becc13 -2.675862 0.134483
bmass13_becc14 -2.675862 0.144828
bmass13_becc15 -2.675862 0.155172
bmass13_becc16 -2.675862 0.165517
bmass13_becc17 -2.675862 0.175862
bmass13_becc18 -2.675862 0.186207
bmass13_becc19 -2.675862 0.196552
bmass13_becc20 -2.675862 0.206897
bmass13_becc21 -2.675862 0.217241
bmass13_becc22 -2.675862 0.227586
bmass13_becc23 -2.675862 0.237931
bmass13_becc24 -2.675862 0.248276
bmass13_becc25 -2.675862 0.258621
bmass13_becc26 -2.675862 0.268966
bmass13_becc27 -2.675862 0.279310
bmass13_becc28 -2.675862 0.289655
bmass13_becc29 -2.675862 0.300000
bmass14_becc00 -2.758621 0.000000
bmass14_becc01 -2.758621 0.010345
bmass14_becc02 -2.758621 0.020690
bmass14_becc03 -2.758621 0.031034
bmass14_becc04 -2.758621 0.041379
bmass14_becc05 -2.758621 0.051724
bmass14_becc06 -2.758621 0.062069
bmass14_becc07 -2.758621 0.072414
bmass14_becc08 -2.758621 0.082759
bmass14_becc09 -2.758621 0.093103
bmass14_becc10 -2.758621 0.103448
bmass14_becc11 -2.758621 0.113793
bmass14_becc12 -2.758621 0.124138
bmass14_becc13 -2.758621 0.134483
bmass14_becc14 -2.758621 0.144828
bmass14_becc15 -2.758621 0.155172
bmass14_becc16 -2.758621 0.165517
bmass14_becc17 -2.758621 0.175862
bmass14_becc18 -2.758621 0.186207
bmass14_becc19 -2.758621 0.196552
bmass14_becc20 -2.758621 0.206897
bmass14_becc21 -2.758621 0.217241
bmass14_becc22 -2.758621 0.227586
bmass14_becc23 -2.758621 0.237931
bmass14_becc24 -2.758621 0.248276
bmass14_becc25 -2.758621 0.258621
bmass14_becc26 -2.758621 0.268966
bmass14_becc27 -2.758621 0.279310
bmass14_becc28 -2.758621 0.289655
bmass14_becc29 -2.758621 0.300000
bmass15_becc00 -2.841379 0.000000
bmass15_becc01 -2.841379 0.010345
bmass15_becc02 -2.841379 0.020690
bmass15_becc03 -2.841379 0.031034
bmass15_becc04 -2.841379 0.041379
bmass15_becc05 -2.841379 0.051724
bmass15_becc06 -2.841379 0.062069
bmass15_becc07 -2.841379 0.072414
bmass15_becc08 -2.841379 0.082759
bmass15_becc09 -2.841379 0.093103
bmass15_becc10 -2.841379 0.103448
bmass15_becc11 -2.841379 0.113793
bmass15_becc12 -2.841379 0.124138
bmass15_becc13 -2.841379 0.134483
bmass15_becc14 -2.841379 0.144828
bmass15_becc15 -2.841379 0.155172
bmass15_becc16 -2.841379 0.165517
bmass15_becc17 -2.841379 0.175862
bmass15_becc18 -2.841379 0.186207
bmass15_becc19 -2.841379 0.196552
bmass15_becc20 -2.841379 0.206897
bmass15_becc21 -2.841379 0.217241
bmass15_becc22 -2.841379 0.227586
bmass15_becc23 -2.841379 0.237931
bmass15_becc24 -2.841379 0.248276
bmass15_becc25 -2.841379 0.258621
bmass15_becc26 -2.841379 0.268966
bmass15_becc27 -2.841379 0.279310
bmass15_becc28 -2.841379 0.289655
bmass15_becc29 -2.841379 0.300000
bmass16_becc00 -2.924138 0.000000
bmass16_becc01 -2.924138 0.010345
bmass16_becc02 -2.924138 0.020690
bmass16_becc03 -2.924138 0.031034
bmass16_becc04 -2.924138 0.041379
bmass16_becc05 -2.924138 0.051724
bmass16_becc06 -2.924138 0.062069
bmass16_becc07 -2.924138 0.072414
bmass16_becc08 -2.924138 0.082759
bmass16_becc09 -2.924138 0.093103
bmass16_becc10 -2.924138 0.103448
bmass16_becc11 -2.924138 0.113793
bmass16_becc12 -2.924138 0.124138
bmass16_becc13 -2.924138 0.134483
bmass16_becc14 -2.924138 0.144828
bmass16_becc15 -2.924138 0.155172
bmass16_becc16 -2.924138 0.165517
bmass16_becc17 -2.924138 0.175862
bmass16_becc18 -2.924138 0.186207
bmass16_becc19 -2.924138 0.196552
bmass16_becc20 -2.924138 0.206897
bmass16_becc21 -2.924138 0.217241
bmass16_becc22 -2.924138 0.227586
bmass16_becc23 -2.924138 0.237931
bmass16_becc24 -2.924138 0.248276
bmass16_becc25 -2.924138 0.258621
bmass16_becc26 -2.924138 0.268966
bmass16_becc27 -2.924138 0.279310
bmass16_becc28 -2.924138 0.289655
bmass16_becc29 -2.924138 0.300000
bmass17_becc00 -3.006897 0.000000
bmass17_becc01 -3.006897 0.010345
bmass17_becc02 -3.006897 0.020690
bmass17_becc03 -3.006897 0.031034
bmass17_becc04 -3.006897 0.041379
bmass17_becc05 -3.006897 0.051724
bmass17_becc06 -3.006897 0.062069
bmass17_becc07 -3.006897 0.072414
bmass17_becc08 -3.006897 0.082759
bmass17_becc09 -3.006897 0.093103
bmass17_becc10 -3.006897 0.103448
bmass17_becc11 -3.006897 0.113793
bmass17_becc12 -3.006897 0.124138
bmass17_becc13 -3.006897 0.134483
bmass17_becc14 -3.006897 0.144828
bmass17_becc15 -3.006897 0.155172
